year,Chadiza,Chasefu,Chibombo,Chikankanta,Chilanga,Chipangali,Chipata,Chirundu,Chisamba,Chitambo,Choma,Chongwe,Gwembe,Itezhi tezhi,Kabwe,Kafue,Kalabo,Kalomo,Kaoma,Kapiri Mposhi,Kasenengwa,Katete,Kazungula,Lavushimanda,Limulunga,Livingstone,Luampa,Luangwa,Luano,Lukulu,Lumezi,Lundazi,Lusaka,Lusangazi,Mambwe,Mazabuka,Mitete,Mkushi,Mongu,Monze,Mpongwe,Mulobezi,Mumbwa,Mwandi,Nalolo,Namwala,Ngabwe,Nkeyema,Nyimba,Pemba,Petauke,Rufunsa,Senanga,Serenje,Sesheke,Shangombo,Shibuyunji,Siavonga,Sikongo,Sinazongwe,Sinda,Sioma,Vubwi,Zimba,Average
2019,0,0,521.0278931,456.2869263,414.2348938,0,0,469.8013,0,0,1031.878784,303.3344727,924.3598633,1097.848145,0,370.6444092,1073.06311,1120.015991,781.9011841,245.106842,0,0,1120.870239,0,1005.949524,1025.619751,966.9614258,412.3619995,374.6455994,796.4227295,0,0,528.6691284,364.9391785,0,548.3655396,936.1320801,207.3913727,1091.158813,868.3598633,217.6748199,1154.755493,321.9381409,1127.037964,1376.897217,573.0147705,0,740.2417603,0,1226.49231,607.1824341,382.4434814,1773.87854,0,1526.337891,1257.526001,811.7185669,855.9293823,1178.936035,755.0474854,0,1652.176025,0,1115.304688,
2020,388.68396,0,392.2695313,547.4832764,650.2052002,0,0,859.3223877,557.9862061,0,538.5606079,420.0656433,689.2606201,538.6939697,312.7058716,554.8911743,0,443.6792908,0,262.9244385,0,308.3074951,463.4587402,0,274.8516541,438.6846924,441.8287048,440.1338196,333.8065796,0,0,0,313.6514587,270.1704407,0,660.8010864,0,0,327.4508972,792.078125,402.4324951,873.5255737,421.7478027,854.7045898,171.9915314,696.8444824,541.0708008,0,0,660.0296631,0,607.1618652,465.1968079,0,727.9075317,0,309.6182556,849.9551392,0,331.0478516,526.9656372,0,341.8993835,798.664978,
2021,0,0,0,0,0,330.039093,527.2683716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,429.2477417,0,703.0125732,0,
AVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average of District Prices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step 1: Calculate Average of rows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step 2: Calculate average of each column,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step 2: Pick the max value of each column to approximate Value at Risk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step 3: Price Insurance: premium at 8% cost of capital (Premium = Expected Payout + [ Cost of Capital * (Value at Risk Ð Expected Payout)]),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Step 4: calculate the Average of the prices (not including the price of the averages),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
